"ID";"Joining Date";"Account Type";"Ethnicity";"Date of Birth"
"793000";"12/02/2023";"Basic";"Asian";"29/04/1951"
"884641";"12/02/2023";"Basic";"Other";"20/02/1970"
"290840";"14/02/2023";"Gold";"Asian";"03/08/2001"
"667559";"14/02/2023";"Basic";"Other";"16/05/1985"
"737345";"14/02/2023";"Gold";"Other";"27/01/1971"
"938610";"14/02/2023";"Platinum";"Other";"18/11/2006"
"645286";"15/02/2023";"Basic";"Other";"07/05/2006"
"913984";"15/02/2023";"Platinum";"White";"06/09/2008"
"993967";"15/02/2023";"Platinum";"Asian";"23/02/1951"
"307769";"16/02/2023";"Gold";"White";"26/07/1981"
"440691";"16/02/2023";"Basic";"White";"02/07/2013"
"583851";"16/02/2023";"Gold";"Other";"26/02/2006"
"533119";"17/02/2023";"Platinum";"White";"25/01/1960"
"905817";"17/02/2023";"Gold";"Other";"24/04/1969"
"995456";"17/02/2023";"Basic";"Other";"05/03/1975"
"303669";"18/02/2023";"Basic";"Black";"03/01/2016"
"535172";"18/02/2023";"Basic";"Asian";"23/12/1964"
"624601";"18/02/2023";"Gold";"Other";"20/04/1991"
"712911";"18/02/2023";"Gold";"Other";"05/06/1943"
"236432";"20/02/2023";"Basic";"White";"13/10/1957"
"448076";"20/02/2023";"Platinum";"White";"07/10/1995"
"473692";"20/02/2023";"Basic";"White";"23/03/2012"
"582245";"20/02/2023";"Platinum";"Other";"17/02/2012"
"698182";"20/02/2023";"Gold";"Asian";"28/12/1960"
"978249";"20/02/2023";"Platinum";"Asian";"09/07/1944"
"247253";"21/02/2023";"Gold";"Asian";"26/09/1987"
"523380";"21/02/2023";"Platinum";"Asian";"23/12/1994"
"418614";"22/02/2023";"Gold";"White";"17/11/2013"
"528281";"22/02/2023";"Basic";"Black";"22/12/2009"
"771442";"22/02/2023";"Basic";"White";"07/05/1974"
"149442";"23/02/2023";"Gold";"Other";"10/06/1952"
"200988";"24/02/2023";"Platinum";"Asian";"08/10/1969"
"203783";"24/02/2023";"Platinum";"Black";"10/07/1975"
"263796";"24/02/2023";"Gold";"White";"10/02/1952"
"863998";"24/02/2023";"Platinum";"Asian";"23/11/2006"
"662810";"25/02/2023";"Gold";"Asian";"11/12/1994"
"804513";"25/02/2023";"Gold";"Asian";"12/05/1974"
"978930";"25/02/2023";"Basic";"Asian";"27/03/2016"
"188081";"26/02/2023";"Basic";"Other";"29/05/1969"
"426503";"26/02/2023";"Platinum";"Other";"03/09/2009"
"128220";"27/02/2023";"Basic";"Other";"22/03/1947"
"313159";"27/02/2023";"Platinum";"White";"23/09/2008"
"322646";"27/02/2023";"Basic";"Asian";"24/02/1956"
"336949";"27/02/2023";"Platinum";"White";"20/12/1976"
"430823";"27/02/2023";"Gold";"White";"22/11/1986"
"478020";"27/02/2023";"Gold";"Black";"16/05/1987"
"900910";"27/02/2023";"Gold";"White";"21/09/1967"
"399130";"28/02/2023";"Basic";"Asian";"04/07/1958"
"898177";"28/02/2023";"Platinum";"Asian";"13/10/1975"
"248371";"01/03/2023";"Gold";"Asian";"30/12/1979"
"429752";"02/03/2023";"Platinum";"Asian";"15/11/1945"
"618265";"03/03/2023";"Basic";"Black";"31/05/1945"
"676797";"03/03/2023";"Gold";"Asian";"03/11/1986"
"982951";"03/03/2023";"Platinum";"Black";"06/03/1982"
"413196";"04/03/2023";"Platinum";"White";"01/10/1974"
"393185";"05/03/2023";"Gold";"Black";"11/08/1967"
"714124";"07/03/2023";"Platinum";"Other";"24/12/1986"
"571428";"08/03/2023";"Platinum";"Black";"23/06/1965"
"344685";"10/03/2023";"Gold";"Asian";"06/01/1990"
"535509";"10/03/2023";"Platinum";"Other";"11/09/2019"
"664810";"10/03/2023";"Gold";"Black";"02/07/1947"
"700950";"10/03/2023";"Basic";"Black";"18/06/1940"
"415677";"11/03/2023";"Basic";"Black";"31/03/2008"
"582577";"11/03/2023";"Gold";"Black";"24/01/1999"
"698434";"11/03/2023";"Basic";"Black";"23/12/1946"
"258885";"12/03/2023";"Basic";"Black";"16/03/1943"
"675810";"12/03/2023";"Gold";"Other";"12/12/1968"
"832052";"12/03/2023";"Basic";"Black";"21/08/1981"
"968654";"12/03/2023";"Gold";"White";"26/01/1981"
"221229";"13/03/2023";"Platinum";"White";"26/02/1965"
"512194";"13/03/2023";"Gold";"White";"09/04/1985"
"528606";"13/03/2023";"Basic";"Other";"03/12/2014"
"835234";"13/03/2023";"Basic";"Other";"04/06/1948"
"980787";"13/03/2023";"Platinum";"Black";"18/02/1975"
"115702";"14/03/2023";"Platinum";"Black";"17/02/1977"
"830235";"14/03/2023";"Gold";"Black";"15/08/1947"
"989180";"14/03/2023";"Gold";"White";"18/09/1953"
"859391";"15/03/2023";"Platinum";"Black";"11/04/1999"
"588390";"16/03/2023";"Basic";"Black";"22/03/1950"
"606785";"16/03/2023";"Basic";"White";"11/08/1968"
"731691";"16/03/2023";"Platinum";"Black";"29/07/1951"
"312371";"17/03/2023";"Gold";"Asian";"28/06/2019"
"845839";"17/03/2023";"Platinum";"Black";"29/05/1979"
"499282";"18/03/2023";"Platinum";"Other";"14/06/2019"
"569706";"18/03/2023";"Gold";"Asian";"16/05/2014"
"296100";"19/03/2023";"Gold";"Other";"22/10/1991"
"725355";"19/03/2023";"Gold";"Asian";"22/09/1975"
"805034";"19/03/2023";"Platinum";"Asian";"10/01/1968"
"973103";"19/03/2023";"Platinum";"Asian";"29/03/1942"
"527900";"20/03/2023";"Gold";"Black";"11/10/1952"
"963921";"20/03/2023";"Gold";"Black";"08/09/2011"
"638704";"21/03/2023";"Gold";"Other";"06/04/1946"
"184141";"22/03/2023";"Basic";"Black";"18/03/1949"
"487923";"22/03/2023";"Platinum";"White";"28/06/1990"
"621479";"22/03/2023";"Basic";"White";"12/01/1968"
"287144";"23/03/2023";"Platinum";"White";"25/09/1976"
"500741";"23/03/2023";"Basic";"Other";"26/12/1955"
"506007";"23/03/2023";"Basic";"Asian";"01/12/1979"
"664103";"23/03/2023";"Gold";"Black";"29/06/2014"
"762476";"23/03/2023";"Basic";"Other";"03/06/1956"
"255988";"24/03/2023";"Basic";"Asian";"07/06/2017"
"548861";"24/03/2023";"Platinum";"Other";"03/05/1962"
"755287";"24/03/2023";"Platinum";"Black";"27/08/1997"
"924472";"24/03/2023";"Basic";"White";"14/06/1972"
"125458";"25/03/2023";"Basic";"Other";"23/06/1960"
"445531";"25/03/2023";"Gold";"Black";"01/11/1963"
"894920";"25/03/2023";"Platinum";"White";"03/12/1979"
"932133";"25/03/2023";"Basic";"Black";"22/09/1944"
"167376";"26/03/2023";"Basic";"Black";"25/06/2004"
"250381";"26/03/2023";"Platinum";"Other";"18/05/1945"
"513032";"26/03/2023";"Basic";"White";"12/01/1973"
"838073";"26/03/2023";"Basic";"Asian";"14/09/2011"
"458285";"27/03/2023";"Basic";"Other";"20/12/2018"
"135265";"28/03/2023";"Platinum";"White";"09/02/1940"
"446540";"28/03/2023";"Basic";"Other";"22/07/1950"
"650842";"28/03/2023";"Gold";"Other";"06/06/1953"
"791978";"28/03/2023";"Basic";"White";"18/10/1985"
"895152";"28/03/2023";"Basic";"Asian";"04/08/1941"
"132163";"29/03/2023";"Basic";"White";"19/08/2019"
"178058";"29/03/2023";"Gold";"Black";"01/01/1988"
"373223";"29/03/2023";"Basic";"Asian";"12/11/1985"
"842913";"29/03/2023";"Gold";"Other";"22/04/1945"
"994016";"29/03/2023";"Platinum";"Other";"29/03/1955"
"264065";"30/03/2023";"Platinum";"Other";"08/12/1975"
"316875";"31/03/2023";"Basic";"Other";"07/03/1992"
"667164";"31/03/2023";"Gold";"Other";"29/03/1977"
"166090";"01/04/2023";"Platinum";"Black";"04/02/2016"
"285940";"02/04/2023";"Platinum";"Black";"03/06/2017"
"549509";"02/04/2023";"Gold";"White";"13/04/1970"
"656164";"02/04/2023";"Basic";"Asian";"22/07/1956"
"856901";"02/04/2023";"Basic";"Other";"21/10/1941"
"589251";"03/04/2023";"Platinum";"White";"01/06/1943"
"637023";"03/04/2023";"Platinum";"Black";"23/11/1953"
"818135";"03/04/2023";"Gold";"Asian";"11/04/1954"
"451214";"04/04/2023";"Platinum";"White";"13/04/1992"
"530288";"04/04/2023";"Platinum";"Black";"24/08/1966"
"731240";"04/04/2023";"Gold";"Other";"08/05/1951"
"284005";"05/04/2023";"Basic";"Asian";"02/07/1992"
"478687";"05/04/2023";"Platinum";"White";"13/05/1999"
"638662";"05/04/2023";"Basic";"Black";"04/03/2008"
"911471";"05/04/2023";"Basic";"White";"11/01/2007"
"192505";"06/04/2023";"Platinum";"White";"15/10/1966"
"340059";"06/04/2023";"Basic";"White";"24/01/2004"
"394262";"06/04/2023";"Basic";"Other";"29/08/1961"
"687501";"06/04/2023";"Platinum";"Black";"21/08/1976"
"594866";"07/04/2023";"Gold";"White";"19/08/2004"
"134047";"08/04/2023";"Basic";"Black";"06/04/1959"
"255005";"08/04/2023";"Basic";"White";"04/01/1941"
"287844";"08/04/2023";"Basic";"Other";"15/02/1952"
"484119";"08/04/2023";"Gold";"Other";"30/09/1974"
"771144";"08/04/2023";"Basic";"Asian";"21/10/1962"
"867196";"08/04/2023";"Basic";"Other";"18/06/1953"
"954550";"08/04/2023";"Gold";"Black";"23/01/1953"
"184178";"09/04/2023";"Basic";"Asian";"29/10/1958"
"282672";"09/04/2023";"Platinum";"Black";"20/07/1991"
"339687";"09/04/2023";"Basic";"White";"29/11/1946"
"347274";"09/04/2023";"Basic";"Black";"17/06/1993"
"595739";"09/04/2023";"Platinum";"White";"18/06/1997"
"130206";"10/04/2023";"Gold";"Asian";"19/03/1972"
"614858";"10/04/2023";"Basic";"Other";"24/03/1977"
"656794";"10/04/2023";"Basic";"Other";"21/10/1951"
"499108";"11/04/2023";"Platinum";"White";"21/11/1949"
"727292";"11/04/2023";"Gold";"Black";"13/01/1984"
"982585";"11/04/2023";"Gold";"Black";"07/02/2016"
"181477";"12/04/2023";"Gold";"Black";"22/08/1984"
"708191";"12/04/2023";"Basic";"White";"30/06/1974"
"405909";"13/04/2023";"Platinum";"Asian";"27/08/1979"
"421873";"13/04/2023";"Gold";"Other";"08/05/1969"
"553320";"13/04/2023";"Gold";"Asian";"19/03/1952"
"609432";"13/04/2023";"Platinum";"Other";"28/05/2009"
"779629";"13/04/2023";"Platinum";"White";"30/06/1993"
"922365";"13/04/2023";"Basic";"Asian";"11/08/2011"
"101515";"14/04/2023";"Gold";"Black";"11/08/1974"
"189566";"14/04/2023";"Basic";"Other";"08/09/1962"
"226852";"14/04/2023";"Platinum";"Black";"24/02/2017"
"976803";"14/04/2023";"Platinum";"Black";"11/07/1940"
"701255";"15/04/2023";"Gold";"White";"22/03/1973"
"706102";"15/04/2023";"Platinum";"White";"19/06/1958"
"805246";"16/04/2023";"Gold";"Asian";"20/07/1971"
"871141";"16/04/2023";"Basic";"Other";"24/02/1944"
"991305";"16/04/2023";"Platinum";"Other";"30/10/1986"
"675627";"18/04/2023";"Gold";"Other";"17/08/1968"
"385445";"19/04/2023";"Basic";"Black";"29/01/1957"
"402150";"19/04/2023";"Platinum";"Other";"14/10/1970"
"458824";"19/04/2023";"Basic";"Asian";"03/08/1967"
"797127";"19/04/2023";"Platinum";"Black";"26/06/1987"
"372488";"20/04/2023";"Basic";"Other";"13/07/1974"
"669663";"20/04/2023";"Gold";"White";"02/06/1994"
"285157";"21/04/2023";"Gold";"Asian";"16/01/2010"
"984067";"22/04/2023";"Basic";"Black";"09/04/1958"
"302917";"24/04/2023";"Gold";"Other";"03/05/1955"
"385704";"24/04/2023";"Basic";"White";"01/01/1987"
"467374";"24/04/2023";"Gold";"Black";"03/01/2006"
"514864";"24/04/2023";"Platinum";"Other";"19/02/1965"
"604416";"24/04/2023";"Gold";"Other";"29/06/2004"
"104185";"25/04/2023";"Basic";"White";"08/06/1989"
"663516";"25/04/2023";"Gold";"Other";"07/11/1996"
"748215";"25/04/2023";"Gold";"Black";"01/05/2013"
"881176";"25/04/2023";"Basic";"Other";"18/01/1979"
"908478";"25/04/2023";"Gold";"Asian";"05/10/1941"
"528483";"26/04/2023";"Platinum";"Black";"03/05/2010"
"873760";"26/04/2023";"Gold";"White";"31/12/1980"
"327751";"27/04/2023";"Platinum";"Asian";"26/04/1984"
"431328";"27/04/2023";"Platinum";"Black";"30/05/1970"
"824009";"27/04/2023";"Platinum";"Black";"27/03/1989"
"919470";"27/04/2023";"Basic";"Other";"09/10/1949"
"934663";"27/04/2023";"Basic";"Black";"29/01/1969"
"381217";"28/04/2023";"Basic";"White";"05/08/1962"
"382490";"28/04/2023";"Gold";"Other";"06/11/1997"
"460507";"28/04/2023";"Platinum";"White";"28/10/1945"
"552566";"28/04/2023";"Gold";"White";"04/02/1950"
"915339";"28/04/2023";"Gold";"White";"07/05/1997"
"984843";"28/04/2023";"Platinum";"Asian";"23/09/1958"
"506688";"29/04/2023";"Gold";"Asian";"29/09/2015"
"628443";"29/04/2023";"Platinum";"Other";"22/06/1970"
"367467";"30/04/2023";"Platinum";"Asian";"24/01/2019"
"654694";"30/04/2023";"Platinum";"Other";"13/08/1985"
"248692";"01/05/2023";"Basic";"Black";"10/03/1949"
"433632";"01/05/2023";"Platinum";"White";"27/09/1992"
"522270";"01/05/2023";"Basic";"Black";"21/11/1940"
"549243";"01/05/2023";"Gold";"Black";"07/06/1947"
"209144";"02/05/2023";"Basic";"Black";"22/11/1948"
"366023";"02/05/2023";"Basic";"Asian";"01/01/1986"
"490418";"02/05/2023";"Basic";"White";"29/09/1950"
"520059";"02/05/2023";"Gold";"Asian";"26/01/1942"
"738405";"02/05/2023";"Basic";"Asian";"12/10/1952"
"397269";"03/05/2023";"Platinum";"Other";"08/06/2001"
"488942";"03/05/2023";"Basic";"Other";"02/12/1958"
"775261";"03/05/2023";"Gold";"White";"23/02/1952"
"131879";"04/05/2023";"Platinum";"Other";"02/09/1952"
"828717";"04/05/2023";"Basic";"White";"08/10/1978"
"189930";"05/05/2023";"Gold";"White";"09/01/1983"
"662171";"05/05/2023";"Platinum";"Black";"22/10/1943"
"742714";"05/05/2023";"Gold";"Black";"04/04/1968"
"985783";"06/05/2023";"Basic";"Asian";"28/03/1951"
"261620";"07/05/2023";"Gold";"Black";"30/07/1990"
"319191";"07/05/2023";"Platinum";"Other";"16/12/2010"
"878515";"07/05/2023";"Gold";"Other";"21/07/1989"
"497082";"08/05/2023";"Platinum";"Other";"03/01/1969"
"112311";"09/05/2023";"Gold";"Other";"11/08/1990"
"159526";"09/05/2023";"Basic";"Asian";"22/12/1986"
"215044";"09/05/2023";"Basic";"White";"11/09/2011"
"514214";"09/05/2023";"Platinum";"Other";"09/07/1941"
"610159";"09/05/2023";"Gold";"Black";"05/12/2005"
"177977";"10/05/2023";"Basic";"Asian";"02/04/1957"
"199260";"10/05/2023";"Basic";"Other";"31/01/1992"
"459470";"10/05/2023";"Platinum";"Black";"13/09/1987"
"942174";"10/05/2023";"Gold";"White";"11/06/1984"
"300208";"11/05/2023";"Gold";"White";"03/04/2008"
"219792";"12/05/2023";"Gold";"Black";"21/04/2003"
"500890";"12/05/2023";"Basic";"White";"15/10/1958"
"778767";"12/05/2023";"Basic";"White";"05/06/1991"
"800314";"12/05/2023";"Basic";"Other";"20/07/1963"
"280225";"14/05/2023";"Platinum";"Asian";"25/08/1996"
"930802";"14/05/2023";"Gold";"Asian";"18/02/2018"
"127541";"15/05/2023";"Gold";"Asian";"13/07/2016"
"210741";"15/05/2023";"Gold";"White";"08/01/1985"
"239922";"15/05/2023";"Basic";"Asian";"31/10/1989"
"442783";"15/05/2023";"Gold";"Asian";"18/12/2007"
"801200";"15/05/2023";"Platinum";"Black";"25/01/1979"
"979652";"15/05/2023";"Platinum";"Black";"23/05/1956"
"352584";"16/05/2023";"Basic";"Black";"13/06/2000"
"139501";"17/05/2023";"Basic";"Asian";"01/01/1994"
"143337";"17/05/2023";"Gold";"Other";"21/06/1980"
"367979";"18/05/2023";"Basic";"Black";"15/09/1983"
"773841";"19/05/2023";"Platinum";"Other";"18/03/1990"
"100185";"20/05/2023";"Basic";"Asian";"29/07/1952"
"636423";"20/05/2023";"Platinum";"Asian";"04/07/1983"
"875629";"20/05/2023";"Basic";"Other";"04/06/1950"
"296948";"21/05/2023";"Platinum";"Black";"10/12/1986"
"525493";"21/05/2023";"Platinum";"Other";"28/03/1976"
"747682";"21/05/2023";"Platinum";"Black";"04/12/1985"
"366251";"22/05/2023";"Gold";"Other";"28/08/1963"
"512509";"22/05/2023";"Gold";"White";"16/04/1991"
"843274";"22/05/2023";"Basic";"Other";"11/08/1941"
"222860";"23/05/2023";"Basic";"Black";"11/02/2012"
"426552";"24/05/2023";"Gold";"White";"13/09/1995"
"546645";"24/05/2023";"Gold";"Asian";"06/09/1971"
"569694";"24/05/2023";"Platinum";"Black";"07/11/2018"
"597131";"24/05/2023";"Gold";"White";"17/05/1954"
"730864";"24/05/2023";"Gold";"Other";"26/04/2015"
"682562";"25/05/2023";"Basic";"Black";"16/04/1984"
"509391";"27/05/2023";"Platinum";"Other";"06/11/1947"
"659716";"27/05/2023";"Platinum";"Black";"09/11/2008"
"444025";"28/05/2023";"Platinum";"Black";"08/04/1997"
"293145";"29/05/2023";"Gold";"Black";"07/08/1989"
"631634";"29/05/2023";"Basic";"Asian";"01/01/1940"
"838883";"29/05/2023";"Basic";"White";"10/12/1980"
"586258";"30/05/2023";"Platinum";"Black";"12/12/2018"
"633141";"30/05/2023";"Basic";"White";"20/05/1943"
"637483";"31/05/2023";"Basic";"White";"21/08/2009"
"723823";"31/05/2023";"Basic";"White";"17/05/2005"
"884949";"31/05/2023";"Gold";"Asian";"03/12/1943"
"560790";"01/06/2023";"Basic";"Other";"25/05/2006"
"637797";"01/06/2023";"Platinum";"Asian";"11/09/1956"
"467421";"02/06/2023";"Basic";"Asian";"12/04/1975"
"298919";"03/06/2023";"Platinum";"Asian";"17/07/2008"
"349244";"03/06/2023";"Basic";"Asian";"18/01/2007"
"128016";"04/06/2023";"Platinum";"Black";"26/10/1952"
"458440";"04/06/2023";"Gold";"White";"21/07/1989"
"713519";"04/06/2023";"Gold";"White";"25/02/1964"
"918799";"04/06/2023";"Gold";"White";"22/10/2010"
"683299";"05/06/2023";"Basic";"Asian";"12/09/2000"
"459563";"06/06/2023";"Gold";"Black";"15/03/1963"
"571041";"07/06/2023";"Basic";"Other";"16/04/1947"
"830903";"07/06/2023";"Gold";"Other";"03/03/1994"
"202785";"08/06/2023";"Platinum";"Black";"11/09/1948"
"496679";"08/06/2023";"Basic";"Black";"19/10/1951"
"610633";"08/06/2023";"Gold";"Black";"13/07/1993"
"979311";"08/06/2023";"Platinum";"White";"08/12/2010"
"202010";"09/06/2023";"Gold";"Black";"23/11/1988"
"814220";"09/06/2023";"Basic";"Other";"21/04/1942"
"907496";"09/06/2023";"Platinum";"Asian";"22/12/2002"
"369873";"10/06/2023";"Gold";"Black";"08/09/1972"
"451936";"10/06/2023";"Basic";"Asian";"22/10/1958"
"731015";"10/06/2023";"Basic";"Other";"02/12/1955"
"182216";"11/06/2023";"Platinum";"Other";"13/02/1979"
"397552";"11/06/2023";"Gold";"Other";"31/10/1941"
"430898";"11/06/2023";"Basic";"Other";"04/05/1947"
"649840";"11/06/2023";"Basic";"Asian";"28/02/1947"
"850891";"11/06/2023";"Basic";"Black";"14/04/1941"
"492316";"13/06/2023";"Platinum";"Other";"28/05/1964"
"510071";"13/06/2023";"Platinum";"Other";"10/10/1992"
"768053";"14/06/2023";"Gold";"White";"17/01/1998"
"569939";"15/06/2023";"Gold";"Black";"11/12/2015"
"687384";"15/06/2023";"Basic";"Asian";"02/04/1963"
"865336";"15/06/2023";"Gold";"Other";"27/11/1969"
"654273";"16/06/2023";"Gold";"Black";"10/10/1942"
"847929";"16/06/2023";"Basic";"Asian";"14/10/1951"
"890532";"16/06/2023";"Gold";"White";"15/04/1988"
"900289";"16/06/2023";"Basic";"Other";"29/01/1987"
"994289";"16/06/2023";"Gold";"White";"09/05/1990"
"466954";"17/06/2023";"Basic";"Black";"05/03/1955"
"589567";"17/06/2023";"Platinum";"Black";"10/05/1961"
"120476";"18/06/2023";"Platinum";"Other";"27/05/1976"
"149481";"18/06/2023";"Basic";"Asian";"26/06/1959"
"202946";"18/06/2023";"Gold";"Black";"16/09/1960"
"621556";"18/06/2023";"Basic";"White";"12/12/2010"
"302454";"19/06/2023";"Platinum";"Asian";"25/07/2018"
"466462";"19/06/2023";"Platinum";"Black";"08/05/1942"
"467340";"19/06/2023";"Platinum";"White";"04/09/1984"
